  iPhone 12 64GB ,  iPhone , 50, 20490000, ,  iPhone12_64.jpg ,  iPhone(iOS) 
  iPhone 13 Pro Max 1TB ,  iPhone , 50, 49990000, ,  iPhone13ProMax_1.jpg ,  iPhone(iOS) 
  iPhone 13 Pro 1TB ,  iPhone , 50, 46990000, ,  iPhone13Pro_1.jpg ,  iPhone(iOS) 
  iPhone 13 Pro Max 512GB ,  iPhone , 50, 43990000, ,  iPhone13ProMax_512.jpg ,  iPhone(iOS) 
  iPhone 13 Pro 512GB ,  iPhone , 50, 40990000, ,  iPhone13Pro_512.jpg ,  iPhone(iOS) 
  iPhone 12 Pro Max 512GB ,  iPhone , 50, 39990000, ,  iPhone12Pro_512.jpg ,  iPhone(iOS) 
  iPhone 13 mini 256GB ,  iPhone , 50, 24990000, ,  iPhone13Mini_256.jpg ,  iPhone(iOS) 
  iPhone 11 128GB ,  iPhone , 50, 18990000, ,  iPhone11_128.jpg ,  iPhone(iOS) 
  iPhone XR 128GB ,  iPhone , 50, 16490000, ,  iPhoneXR_128.jpg ,  iPhone(iOS) 
  Samsung Galaxy Z Fold3 5G 512GB ,  SAMSUNG , 50, 43990000, ,  samsungGalaxyZFold3_512.jpg ,  Android 
  Samsung Galaxy A03s ,  SAMSUNG , 50, 3690000, ,  samsungGalaxyA03s.jpg ,  Android 
  Samsung Galaxy M51 ,  SAMSUNG , 50, 9490000, ,  samsungGalaxyM51.jpg ,  Android 
  Samsung Galaxy Z Flip3 5G 256GB ,  SAMSUNG , 50, 25990000, ,  samsungGalaxyZFlip3_256.jpg ,  Android 
  OPPO Reno6 Z 5G ,  OPPO , 50, 9490000, ,  oppoReno6Z.jpg ,  Android 
  OPPO A74 ,  OPPO , 50, 6690000, ,  oppoA74.jpg ,  Android 
  OPPO A55 ,  OPPO , 50, 4990000, ,  oppoA55.jpg ,  Android 
  OPPO Reno5 Marvel ,  OPPO , 50, 9190000, ,  oppoReno5Marvel.jpg ,  Android 
  Vivo Y21 ,  VIVO , 50, 4290000, ,  vivoY21.jpg ,  Android 
  Vivo X70 Pro 5G ,  VIVO , 50, 18990000, ,  vivoX70Pro.jpg ,  Android 
  Vivo Y72 5G ,  VIVO , 50, 7590000, ,  vivoY72.jpg ,  Android 
  Vivo V20 SE ,  VIVO , 50, 6490000, ,  vivoV20SE.jpg ,  Android 
  Xiaomi 11T 5G 256GB ,  XIAOMI , 50, 11990000, ,  xiaomi11T_256.jpg ,  Android 
  Xiaomi 11 Lite 5G NE ,  XIAOMI , 50, 9490000, ,  xiaomi11Lite.jpg ,  Android 
  Xiaomi Redmi Note 10S ,  XIAOMI , 50, 6490000, ,  xiaomiRedmiNote10s.jpg ,  Android 
  Xiaomi Redmi Note 9 ,  XIAOMI , 50, 4490000, ,  xiaomiRedmiNote9.jpg ,  Android 
  Realme C21Y 4GB ,  REALME , 50, 3990000, ,  realmeC21Y.jpg ,  Android 
  Realme 7 Pro ,  REALME , 50, 8540000, ,  realme7Pro.jpg ,  Android 
  Realme 8 Pro Vàng Rực Rỡ ,  REALME , 50, 8240000, ,  realme8ProVang.jpg ,  Android 
  Realme 6 Pro ,  REALME , 50, 6990000, ,  realme6Pro.jpg ,  Android 
  Nokia 3.4 ,  NOKIA , 50, 3290000, ,  nokia34Android.jpg ,  Android 
  Nokia C30 ,  NOKIA , 50, 2790000, ,  nokiaC30.jpg ,  Android 
  Nokia 210 ,  NOKIA , 50, 790000, ,  nokia210.jpg ,  Điện thoại phổ thông 
  Nokia 6300 4G ,  NOKIA , 50, 1090000, ,  nokia6300.jpg ,  Điện thoại phổ thông 
  Mobell P41 ,  MOBELL , 50, 990000, ,  mobellP41.jpg ,  Android 
  Mobell Rock 3 ,  MOBELL , 50, 590000, ,  mobellRock3.jpg ,  Điện thoại phổ thông 
  Mobell C310 ,  MOBELL , 50, 230000, ,  mobellC310.jpg ,  Điện thoại phổ thông 
  Mobell M729 ,  MOBELL , 50, 450000, ,  mobellM729.jpg ,  Điện thoại phổ thông 
  Itel L6006 ,  INTEL , 50, 2190000, ,  itelL6006.jpg ,  Android 
  Itel it9200 4G ,  INTEL , 50, 700000, ,  itelIt9200.jpg ,  Điện thoại phổ thông 
  Itel it2590 ,  INTEL , 50, 450000, ,  itelIt2590.jpg ,  Điện thoại phổ thông 
  Itel it5071 ,  INTEL , 50, 330000, ,  itelIt5071.jpg ,  Điện thoại phổ thông 
  Masstel Fami P20 ,  MASSTEL , 50, 550000, ,  masstelFamiP20.jpg ,  Điện thoại phổ thông 
  Masstel Play 50 ,  MASSTEL , 50, 500000, ,  masstelPlay50.jpg ,  Điện thoại phổ thông 
  Masstel IZI 300 ,  MASSTEL , 50, 450000, ,  masstelIzi300.jpg ,  Điện thoại phổ thông 
